des_ross_x,des_ross_y,des_ross_theta,des_mon_x,des_mon_y,des_mon_theta,act_ross_x,act_ross_y,act_ross_theta,act_mon_x,act_mon_y,act_mon_theta
0.434602977159093,0.42207742736801535,0.08505907981987182,0.9939091943297721,0.44994417160241085,0.02048697395433452,-1.278249141715169,0.2839969965632994,-0.058156715340131636,-1.6024780462984654,-0.42531327828514853,1.5948763014324452
0.43682968286034335,0.4222665950082595,0.08446128518401164,0.9961430227881407,0.4499900107215569,0.02054750523775084,-1.2782273107818911,0.28387001470717454,-0.05920018841996622,-1.6028129827157058,-0.42534499039991935,1.5947771239269042
0.43905848153391397,0.4224546042174171,0.08386840603493573,0.9983788416042347,0.45003602569649903,0.02060782757095314,-1.2781918112353838,0.2839039110819533,-0.0586188676876963,-1.601853569669354,-0.425211670039669,1.594683280369199
0.4412893581738018,0.4226414623552357,0.08328039791710928,1.0006166371765244,0.45008221605134646,0.02066796866721754,-1.2782589335218735,0.28383777840025076,-0.058801857508614615,-1.601808963197702,-0.4252431802052536,1.5946851848134038
0.44352229776296936,0.42282717673463965,0.08269721675613484,1.0028563958698682,0.450128581367773,0.020727956026446837,-1.2783694852477159,0.28344181566115995,-0.060199638074290664,-1.6017058856275859,-0.42521281059536675,1.5946059976502729
0.44575728527334657,0.42301175462187585,0.08211881886114147,1.0050981040158518,0.4501751212847918,0.02078781693345011,-1.278299137073104,0.2838862240716451,-0.05878031903243291,-1.6025642516208405,-0.4253284765504207,1.5948832384486997
0.44799430566582676,0.42319520323682347,0.08154516091912933,1.0073417479131295,0.45022183549836503,0.0208475784609643,-1.2777181497128225,0.2845196405767622,-0.056015678681018276,-1.6019355656376457,-0.4252471412555041,1.594824410247273
0.4502333438902766,0.4233775297529923,0.08097619998864225,1.009587313827745,0.45026872376132226,0.02090726747510052,-1.2782796709979045,0.28385226079427794,-0.05886227687033944,-1.601937011681837,-0.4252615483716423,1.5947990175101574
0.45247438488554037,0.4235587412978136,0.08041189350027489,1.011834787993471,0.45031578588299187,0.020966910635069613,-1.2782718473614363,0.28386967725678647,-0.05876854155135613,-1.6010786072329346,-0.4251636782528402,1.5948294491117119
0.4547174135794527,0.42373884495275815,0.07985219925414633,1.0140841566121321,0.4503630217289978,0.021026534392997842,-1.2782596327211566,0.2838515269244301,-0.05883572121677427,-1.6018097865908694,-0.42522616157289567,1.594820647488246
0.45696241488884826,0.42391784775351515,0.0792970754047082,1.0163354058539273,0.450410431221003,0.021086165009705393,-1.2782456376981077,0.28387638129727427,-0.05875364996491513,-1.6010547220850864,-0.42512106021259766,1.5946269627323035
0.45920937371958015,0.42409575669015537,0.07874648047507504,1.0185885218577546,0.450458014336464,0.021145828537614708,-1.2782383108141675,0.2838789194176805,-0.058853467321011654,-1.6027638146206915,-0.4253331435211769,1.5947602000797887
0.46145827496653513,0.4242725787073196,0.07820037333784935,1.0208434907315302,0.45050577110836154,0.02120555084038589,-1.2782531894226414,0.2838335866479903,-0.058972823185213206,-1.6019639352215003,-0.42524688793244886,1.5947465553051448
0.4637091035136524,0.4244483207043984,0.07765871321880491,1.023100298552503,0.45055370162493813,0.02126535758692416,-1.2782897179672552,0.28383313511430786,-0.05895894248013699,-1.6012335641825928,-0.4251613112485556,1.5948319943547233
0.4659618442339537,0.4246229895355936,0.07712145969417028,1.0253589313675684,0.45060180602955874,0.02132527425533537,-1.278279959073342,0.28388202401372076,-0.0586356441383143,-1.60158984264515,-0.4252230817276566,1.594757899779698
0.46821648198955834,0.42479659201027326,0.07658857268203434,1.0276193751935847,0.4506500845202725,0.02138532613791133,-1.2782526912013428,0.28386670615165027,-0.05877092035649369,-1.6017704026049322,-0.4252261390998144,1.5947701418080986
0.4704730016317208,0.42496913489294524,0.07606001244350535,1.029881616017677,0.45069853734975734,0.02144553834099261,-1.2789983015133246,0.28335999717827187,-0.058383353730341064,-1.6012921671111546,-0.42515551091066084,1.594701802133771
0.47273138800085207,0.4251406249035535,0.07553573957527959,1.0321456397975453,0.450747164824946,0.021505935789865482,-1.2782843603971146,0.2838732166672275,-0.058761501224324386,-1.6017805255753863,-0.4252301039426364,1.5946994508972554
0.47499162592656197,0.4253110687175597,0.07501571501117787,1.0344114324617733,0.4507959673068586,0.021566543227976798,-1.278311154287352,0.2838928444495733,-0.058536242176884586,-1.601685283490871,-0.4252217478867212,1.5946757748261042
0.4772537002276801,0.4254804729661949,0.07449990000982165,1.036678979910123,0.45084494521027446,0.021627385227682705,-1.2783764845567867,0.28387926793663654,-0.0587761662096691,-1.6014658931099754,-0.42518481744479397,1.5946634753873248
0.479517595712308,0.42564884423650917,0.07398825616184324,1.0389482680138409,0.45089409900359734,0.0216884861807225,-1.2781006240425408,0.2840606555185289,-0.058014345462201466,-1.6013919769796976,-0.4251523224197003,1.5945399338051698
0.4817832971778475,0.4258161890716434,0.07348074537822935,1.0412192826159534,0.4509434292085064,0.02174987031181974,-1.2783248694751088,0.28382142148832834,-0.05898781615150494,-1.601441494174027,-0.42517329055186137,1.5945159229669483
0.4840507894110482,0.4259825139709062,0.07297732989044459,1.0434920095315616,0.45099293639979526,0.021811561675098012,-1.2782471755099192,0.2838613290669486,-0.05884498319474791,-1.601513132185779,-0.4251681707945966,1.5945965375127327
0.4863200571880491,0.42614782538995644,0.07247797224456454,1.0457664345481335,0.45104262120510963,0.021873584160283954,-1.2786480446252388,0.2839635142454583,-0.05751746085735228,-1.601524801025044,-0.42517817564454496,1.5945731012465802
0.48859108527442463,0.4263121297409971,0.0719826353013362,1.0480425434257987,0.4510924843046735,0.021935961492577594,-1.278346925324697,0.28385885369797376,-0.05891803776295906,-1.6022185235617765,-0.42526540539205127,1.5946860494651185
0.49086385842523184,0.42647543339290245,0.07149128222777223,1.050320321897633,0.4511425264310776,0.0219987172375391,-1.2783105697457549,0.2838385979125932,-0.05887897457688508,-1.6016478258391655,-0.42520727893431676,1.5946692827354423
0.49313836138506595,0.42663774267132754,0.07100387649853435,1.0525997556699467,0.45119274836909246,0.022061874801550196,-1.2787586632065056,0.2835549061093861,-0.05872027641644662,-1.6017264573174002,-0.4252101195242681,1.594690609106464
